Measurement_ID,Date,Time,Value,Unit
9192,2025-02-14,15:03:14,20000,LUX     
9193,2025-02-14,15:08:14,21800,LUX     
9194,2025-02-14,15:13:14,26600,LUX     
9195,2025-02-14,15:18:14,32500,LUX     
9196,2025-02-14,15:23:14,30300,LUX     
9197,2025-02-14,15:28:14,32300,LUX     
9198,2025-02-14,15:33:14,51900,LUX     
9199,2025-02-14,15:38:14,21100,LUX     
9200,2025-02-14,15:43:14,15950,LUX     
9201,2025-02-14,15:48:14,13240,LUX     
9202,2025-02-14,15:53:14,11720,LUX     
9203,2025-02-14,15:58:14,11100,LUX     
9204,2025-02-14,16:03:14,14440,LUX     
9205,2025-02-14,16:08:14,13320,LUX     
9206,2025-02-14,16:13:14,12590,LUX     
9207,2025-02-14,16:18:14,11050,LUX     
9208,2025-02-14,16:23:14,9910,LUX     
9209,2025-02-14,16:28:14,8820,LUX     
9210,2025-02-14,16:33:14,8940,LUX     
9211,2025-02-14,16:38:14,9910,LUX     
9212,2025-02-14,16:43:14,10580,LUX     
9213,2025-02-14,16:48:14,10120,LUX     
9214,2025-02-14,16:53:14,10290,LUX     
9215,2025-02-14,16:58:14,10940,LUX     
9216,2025-02-14,17:03:14,11550,LUX     
9217,2025-02-14,17:08:14,11130,LUX     
9218,2025-02-14,17:13:14,10090,LUX     
9219,2025-02-14,17:18:14,7380,LUX     
9220,2025-02-14,17:23:14,4300,LUX     
9221,2025-02-14,17:28:14,2880,LUX     
9222,2025-02-14,17:33:14,2030,LUX     
9223,2025-02-14,17:38:14,1781,LUX     
9224,2025-02-14,17:43:14,1324,LUX     
9225,2025-02-14,17:48:14,1139,LUX     
9226,2025-02-14,17:53:14,1117,LUX     
9227,2025-02-14,17:58:14,1244,LUX     
9228,2025-02-14,18:03:14,1427,LUX     
9229,2025-02-14,18:08:14,1518,LUX     
9230,2025-02-14,18:13:14,1440,LUX     
9231,2025-02-14,18:18:14,1461,LUX     
9232,2025-02-14,18:23:14,1537,LUX     
9233,2025-02-14,18:28:14,1415,LUX     
9234,2025-02-14,18:33:14,1132,LUX     
9235,2025-02-14,18:38:14,844,LUX     
9236,2025-02-14,18:43:14,590,LUX     
9237,2025-02-14,18:48:14,387,LUX     
9238,2025-02-14,18:53:14,180,LUX     
9239,2025-02-14,18:58:14,56,LUX     
9240,2025-02-14,19:03:14,8,LUX     
9241,2025-02-14,19:08:14,1,LUX     
9242,2025-02-14,19:13:14,0,LUX     
9243,2025-02-14,19:18:14,0,LUX     
9244,2025-02-14,19:23:14,0,LUX     
9245,2025-02-14,19:28:14,0,LUX     
9246,2025-02-14,19:33:14,0,LUX     
9247,2025-02-14,19:38:14,0,LUX     
9248,2025-02-14,19:43:14,0,LUX     
9249,2025-02-14,19:48:14,0,LUX     
9250,2025-02-14,19:53:14,0,LUX     
9251,2025-02-14,19:58:14,0,LUX     
9252,2025-02-14,20:03:14,0,LUX     
9253,2025-02-14,20:08:14,0,LUX     
9254,2025-02-14,20:13:14,0,LUX     
9255,2025-02-14,20:18:14,0,LUX     
9256,2025-02-14,20:23:14,0,LUX     
9257,2025-02-14,20:28:14,0,LUX     
9258,2025-02-14,20:33:14,0,LUX     
9259,2025-02-14,20:38:14,0,LUX     
9260,2025-02-14,20:43:14,0,LUX     
9261,2025-02-14,20:48:14,0,LUX     
9262,2025-02-14,20:53:14,0,LUX     
9263,2025-02-14,20:58:14,0,LUX     
9264,2025-02-14,21:03:14,0,LUX     
9265,2025-02-14,21:08:14,0,LUX     
9266,2025-02-14,21:13:14,0,LUX     
9267,2025-02-14,21:18:14,0,LUX     
9268,2025-02-14,21:23:14,0,LUX     
9269,2025-02-14,21:28:14,0,LUX     
9270,2025-02-14,21:33:14,0,LUX     
9271,2025-02-14,21:38:14,0,LUX     
9272,2025-02-14,21:43:14,0,LUX     
